date,IC00
2015-04-17,0.006538830794779349
2015-04-20,-0.01752983939573616
2015-04-21,0.06798562094933214
2015-04-22,0.006068497862512956
2015-04-23,0.009255415272656277
2015-04-24,0.007452574525745216
2015-04-27,0.002401767701027957
2015-04-28,-0.02398409047345229
2015-04-29,0.019049957039401155
2015-04-30,0.0044084700440845115
2015-05-04,0.00100733918549456
2015-05-05,-0.024223691776883327
2015-05-06,-0.012793124616328977
2015-05-07,-0.016092926077007297
2015-05-08,0.03283868847485905
2015-05-11,0.03899060113569597
2015-05-12,0.018610567975688497
2015-05-13,0.005550544647193512
2015-05-14,0.0074288737091470205
2015-05-15,-0.000593580201817101
2015-05-18,0.02547844938110444
2015-05-19,0.03664302600472813
2015-05-20,0.01820015788088769
2015-05-21,0.0482189774734032
2015-05-22,0.0006779939596901485
2015-05-25,0.0231388329979878
2015-05-26,0.05674954347520723
2015-05-27,0.0018799491084482425
2015-05-28,-0.05447308567096276
2015-05-29,0.014412861323818138
2015-06-01,0.08937851990909995
2015-06-02,0.020388913075025442
2015-06-03,-0.013083979236293676
2015-06-04,-0.021075005403847547
2015-06-05,0.007341846686048645
2015-06-08,-0.031637592474198506
2015-06-09,0.009224152566351672
2015-06-10,0.02685880901648541
2015-06-11,0.02466371794171729
2015-06-12,0.015010480690659687
2015-06-15,-0.017431176604420732
2015-06-16,-0.034697112729993096
2015-06-17,0.017935233877663936
2015-06-18,-0.03270070875704667
2015-06-19,-0.04334463954425349
2015-06-23,-0.012752752752752672
2015-06-24,0.019812219901445882
2015-06-25,-0.0672499502883277
2015-06-26,-0.08022085784940736
2015-06-29,-0.09973345694750267
2015-06-30,0.07435250502033885
2015-07-01,-0.10023963575365448
2015-07-02,0.021093562734705973
2015-07-03,-0.034299277498109015
2015-07-06,0.004753673292999139
2015-07-07,-0.12416666666666665
2015-07-08,-0.0858782726128724
2015-07-09,0.0999899271396434
2015-07-10,0.09999694759012234
2015-07-13,0.05025390570802246
2015-07-14,0.00996089621644458
2015-07-15,-0.06657946370176583
2015-07-16,0.055465246636771326
2015-07-17,0.053453357763084464
2015-07-20,-0.034183465689269
2015-07-21,0.01660297799446564
2015-07-22,0.007517822423849684
2015-07-23,0.07886272996269139
2015-07-24,-0.04841402337228717
2015-07-27,-0.08002506265664168
2015-07-28,-0.01640014166235315
2015-07-29,0.06672206065641872
2015-07-30,-0.0611206314586904
2015-07-31,0.02309181415929196
2015-08-03,-0.04511420462224625
2015-08-04,0.08384759100945494
2015-08-05,-0.022356874216464817
2015-08-06,0.007880957469544871
2015-08-07,0.040528003816895135
2015-08-10,0.06098430813124112
2015-08-11,-0.01553421368547414
2015-08-12,-0.014437967953564447
2015-08-13,0.032614758357873086
2015-08-14,0.006134942861671933
2015-08-17,0.031201619626056942
2015-08-18,-0.09897216768679984
2015-08-19,0.04475775442194308
2015-08-20,-0.018181372067916368
2015-08-21,-0.03168811695614149
2015-08-24,-0.09487471210145117
2015-08-25,-0.09997547366484773
2015-08-26,-0.08025343189017953
2015-08-27,0.0977741565127217
2015-08-28,0.08002429067845229
2015-08-31,-0.06890950551338526
2015-09-01,-0.09870164726406536
2015-09-02,0.0007444630560209388
2015-09-07,0.07773851590106018
2015-09-08,0.1014667817083692
2015-09-09,-0.0021933260222466444
2015-09-10,-0.00785052598524105
2015-09-11,0.015983541699636117
2015-09-14,-0.10308411214953273
2015-09-15,-0.016428745093952868
2015-09-16,0.06836641005720745
2015-09-17,-0.015832617174588504
2015-09-18,0.009269521410579351
2015-09-21,0.058353344768439015
2015-09-22,-0.014975203396972447
2015-09-23,-0.0160255355556288
2015-09-24,0.019998662296836445
2015-09-25,-0.05124590163934428
2015-09-28,0.03576735667138964
2015-09-29,-0.013412518350460423
2015-09-30,0.0006425431180250296
2015-10-08,0.04687552806786298
2015-10-09,0.03415547520661155
2015-10-12,0.03680464506461889
2015-10-13,0.006924999247282626
2015-10-14,-0.006488652333821786
2015-10-15,0.04659001986396194
2015-10-16,0.0035946396733190773
2015-10-19,-0.013866351969316959
2015-10-20,0.024682124158563967
2015-10-21,-0.05418978102189776
2015-10-22,0.028925109588195275
2015-10-23,0.03627253907773542
2015-10-26,-0.006224667052692534
2015-10-27,0.005593590677348771
2015-10-28,-0.03186835472375926
2015-10-29,0.01475297004518672
2015-10-30,0.00026540843409028625
2015-11-02,-0.0169521507119903
2015-11-03,-0.0018893953934741024
2015-11-04,0.06526246206544273
2015-11-05,-0.0034129692832765013
2015-11-06,0.03218045963998638
2015-11-09,0.008226164687817006
2015-11-10,0.0054665615056161965
2015-11-11,0.020421963754395426
2015-11-12,-0.003445990722332648
2015-11-13,-0.006782816863944663
2015-11-16,0.02276379217996793
2015-11-17,-0.011835559046870836
2015-11-18,-0.00643913296942078
2015-11-19,0.02640352046939598
2015-11-20,0.013901520072755693
2015-11-23,-0.011555101711767437
2015-11-24,0.015550661990593406
2015-11-25,0.021416142417347128
2015-11-26,-0.012999606866727742
2015-11-27,-0.05831275392336487
2015-11-30,0.0036093957082028454
2015-12-01,0.002725408108791516
2015-12-02,0.01997870432638416
2015-12-03,0.013406225103705928
2015-12-04,-0.008403589145815848
2015-12-07,0.0032258946390004697
2015-12-08,-0.014905850614491569
2015-12-09,-0.002489626556016589
2015-12-10,-0.005823627287853572
2015-12-11,0.008005578800557744
2015-12-14,0.026925312007084257
2015-12-15,0.0032336297493937853
2015-12-16,0.006258393768466375
2015-12-17,0.026826468782532142
2015-12-18,0.0009358427784131873
2015-12-21,0.013008173513542332
2015-12-22,0.00856954515491104
2015-12-23,-0.017464052287581744
2015-12-24,0.002261721036666442
2015-12-25,0.008283112538827186
2015-12-28,-0.038284315016193234
2015-12-29,0.015496235455167762
2015-12-30,0.012563694696826607
2015-12-31,-0.021620470218601032
2016-01-04,-0.0636549190366037
2016-01-05,-0.026477939894204442
2016-01-06,0.017226451709210222
2016-01-07,-0.06668231979337869
2016-01-08,0.006257861635220241
2016-01-11,-0.07178349323416366
2016-01-12,0.022624739074809767
2016-01-13,-0.028050306182919704
2016-01-14,0.029401802045931905
2016-01-15,-0.022244159262915453
2016-01-18,0.022477558348294343
2016-01-19,0.04101699676920911
2016-01-20,-0.015821076777762788
2016-01-21,-0.026735218508997405
2016-01-22,0.017749603803486558
2016-01-25,0.003494930620436598
2016-01-26,-0.06875862068965521
2016-01-27,-0.022365400281418986
2016-01-28,-0.02374820089387164
2016-01-29,0.0339088263821532
2016-02-01,-0.0012758452474764814
2016-02-02,0.03768551568664291
2016-02-03,0.006010572814830972
2016-02-04,0.024870429023898574
2016-02-05,-0.013696224758560138
2016-02-15,0.006124265622218239
2016-02-16,0.040627101249248065
2016-02-17,0.011222581193674586
2016-02-18,0.0005380864301327558
2016-02-19,0.0031931699774796485
2016-02-22,0.017580359929262324
2016-02-23,-0.00412321951884409
2016-02-24,0.006295979469632229
2016-02-25,-0.08854432316637761
2016-02-26,0.010595038239134436
2016-02-29,-0.06323599985233863
2016-03-01,0.029988965952080667
2016-03-02,0.06894440831005855
2016-03-03,0.0028633809370413052
2016-03-04,-0.027088761197758715
2016-03-07,0.02622890682318424
2016-03-08,0.011796246648793527
2016-03-09,-0.028440204910793125
2016-03-10,-0.018909090909090875
2016-03-11,0.003187546330615243
2016-03-14,0.039976354097391635
2016-03-15,-0.0038368622992753774
2016-03-16,-0.007596291012838874
2016-03-17,0.034966040176806816
2016-03-18,0.032048611111111125
2016-03-21,0.022449824125801758
2016-03-22,-0.0013828459644507074
2016-03-23,0.004660902458794913
2016-03-24,-0.017783903718146976
2016-03-25,0.011465927371051121
2016-03-28,-0.009034921494315062
2016-03-29,-0.011644186443571793
2016-03-30,0.040077390823659576
2016-03-31,-0.00013287270794581918
2016-04-01,0.0013289036544850141
2016-04-05,0.02694094226940935
2016-04-06,0.00533083484104413
2016-04-07,-0.010830092875277142
2016-04-08,-0.006790123456790198
2016-04-11,0.020084393706453874
2016-04-12,0.00044893378226706926
2016-04-13,0.010609314401102576
2016-04-14,0.0119251506501743
2016-04-15,-0.0007208675484233763
2016-04-18,-0.01953464422488982
2016-04-19,0.0015427033414299185
2016-04-20,-0.051027430931078636
2016-04-21,-0.0004834921950546134
2016-04-22,0.010641973602377286
2016-04-25,-0.005914529914530009
2016-04-26,0.011968222306290244
2016-04-27,-0.003262531860662721
2016-04-28,-0.005591735142691512
2016-04-29,0.002022972741299478
2016-05-03,0.04109635915685739
2016-05-04,-0.0036483155299917853
2016-05-05,0.011545820413010556
2016-05-06,-0.039949126010957466
2016-05-09,-0.03991304052447432
2016-05-10,-0.0004953297480895237
2016-05-11,-0.001699115044247801
2016-05-12,0.005247854762073567
2016-05-13,-0.0019047619047619648
2016-05-16,0.019967486570539927
2016-05-17,0.001212709192335737
2016-05-18,-0.025332225913621158
2016-05-19,0.0014912654452492458
2016-05-20,0.008827908955541421
2016-05-23,0.013015028402962424
2016-05-24,-0.0064948892674615575
2016-05-25,-0.00760904511842253
2016-05-26,0.01292296616270705
2016-05-27,0.0004975301183411941
2016-05-30,-0.003480978936525436
2016-05-31,0.05564070575654957
2016-06-01,-0.003950567260940008
2016-06-02,0.006440896301569632
2016-06-03,0.011081545353498036
2016-06-06,-0.004930375108268437
2016-06-07,0.007130900569132903
2016-06-08,-0.003457102017750957
2016-06-13,-0.04399746489209111
2016-06-14,-0.001500348918353156
2016-06-15,0.034350211412796705
2016-06-16,-0.0012162162162161485
2016-06-17,0.008388580706264248
2016-06-20,0.006470932433827682
2016-06-21,-0.012072090557778359
2016-06-22,0.02499307671005257
2016-06-23,-0.005741303613644
2016-06-24,-0.017153532608695676
