,thscode,ths_option_call_volume_option,ths_option_put_volume_option,ths_option_call_oi_option,ths_option_put_oi_option,ths_option_total_oi_pcr_option
2020-06-24,510050.SH,1022594,805287,724919,877755,121.0832
2020-06-29,510050.SH,717324,744443,838960,955610,113.9041
2020-06-30,510050.SH,741617,741181,887619,1025753,115.5623
2020-07-01,510050.SH,1350930,1122855,863806,1179627,136.5616
2020-07-02,510050.SH,1964790,1289610,925942,1300760,140.4796
2020-07-03,510050.SH,2141455,1326880,1012312,1343167,132.6831
2020-07-06,510050.SH,3241395,1859808,929424,1487801,160.0777
2020-07-07,510050.SH,2640104,1357097,1091195,1564502,143.3751
2020-07-08,510050.SH,2312619,1280083,1206123,1578997,130.9151
2020-07-09,510050.SH,1759300,861088,1252259,1610609,128.6163
2020-07-10,510050.SH,1764151,1043929,1345003,1568341,116.605
2020-07-13,510050.SH,1920953,1130381,1311418,1556325,118.675
2020-07-14,510050.SH,1741755,1143588,1362588,1536546,112.7667
2020-07-15,510050.SH,1510416,1071937,1397399,1503728,107.6091
2020-07-16,510050.SH,2174600,2025916,1536908,1360430,88.5173
2020-07-17,510050.SH,1810481,1630713,1485570,1332319,89.684
2020-07-20,510050.SH,2037855,1292797,1393858,1375867,98.7093
2020-07-21,510050.SH,1153301,780441,1367194,1380661,100.985
2020-07-22,510050.SH,1871961,1197308,953089,873500,91.6494
2020-07-23,510050.SH,1350984,1351953,1037882,927752,89.389
2020-07-24,510050.SH,1400742,1716477,1193770,948054,79.4168
2020-07-27,510050.SH,918054,999509,1259640,983054,78.0425
2020-07-28,510050.SH,762395,655462,1310584,1026115,78.2945
2020-07-29,510050.SH,1225919,867288,1259063,1074455,85.3377
2020-07-30,510050.SH,798249,537828,1277083,1102312,86.3148
2020-07-31,510050.SH,1455096,1134796,1289305,1124302,87.2022
2020-08-03,510050.SH,906400,618576,1318186,1151054,87.3211
2020-08-04,510050.SH,1221636,826345,1285154,1192756,92.8104
2020-08-05,510050.SH,816346,775195,1337073,1207323,90.296
2020-08-06,510050.SH,1171438,887577,1386494,1214454,87.5917
2020-08-07,510050.SH,1163915,1101479,1404651,1221392,86.9534
2020-08-10,510050.SH,1162993,970199,1390379,1252510,90.0841
2020-08-11,510050.SH,1318831,1054688,1388778,1246363,89.7453
2020-08-12,510050.SH,1391453,1237117,1501348,1232201,82.073
2020-08-13,510050.SH,806054,675602,1529099,1251231,81.828
2020-08-14,510050.SH,1060526,966039,1444630,1271538,88.0182
2020-08-17,510050.SH,2247532,1323264,1383256,1331176,96.235
2020-08-18,510050.SH,1060425,628765,1423379,1344085,94.4292
2020-08-19,510050.SH,1354903,903277,1503793,1295851,86.1722
2020-08-20,510050.SH,1254018,1066585,1564922,1265880,80.8909
2020-08-21,510050.SH,1123789,862801,1543668,1260604,81.6629
2020-08-24,510050.SH,1107666,749894,1456713,1240473,85.1556
2020-08-25,510050.SH,1015784,720291,1405222,1258746,89.5763
2020-08-26,510050.SH,988826,823190,898472,874476,97.3292
2020-08-27,510050.SH,586120,621795,1003604,962429,95.8973
2020-08-28,510050.SH,1131292,842437,980526,1073512,109.4833
2020-08-31,510050.SH,1190709,719173,1054883,1113222,105.5304
2020-09-01,510050.SH,680666,559580,1116567,1133090,101.4798
2020-09-02,510050.SH,979248,754335,1185020,1160926,97.9668
2020-09-03,510050.SH,950452,698152,1225123,1172098,95.6719
2020-09-04,510050.SH,802342,800287,1322008,1190806,90.0756
2020-09-07,510050.SH,1045340,871801,1402857,1196982,85.3246
2020-09-08,510050.SH,984305,757187,1420158,1211305,85.2937
2020-09-09,510050.SH,1086735,1057492,1537535,1207194,78.5149
2020-09-10,510050.SH,970840,722251,1512915,1212075,80.1152
2020-09-11,510050.SH,801631,660128,1500630,1221559,81.4031
2020-09-14,510050.SH,819116,626635,1427390,1220371,85.4967
2020-09-15,510050.SH,840663,701480,1367091,1228710,89.8777
2020-09-16,510050.SH,778647,673192,1412437,1219445,86.3362
2020-09-17,510050.SH,951389,936630,1464003,1202650,82.1481
2020-09-18,510050.SH,1660582,1186120,1315415,1229134,93.4408
2020-09-21,510050.SH,1185020,767363,1363937,1145691,83.9988
2020-09-22,510050.SH,1093835,923210,1417607,1135457,80.0967
2020-09-23,510050.SH,795781,629300,887673,678036,76.3835
2020-09-24,510050.SH,828035,907556,1045919,778865,74.467
2020-09-25,510050.SH,601143,496539,1093515,810889,74.1544
2020-09-28,510050.SH,645527,430859,1109037,824984,74.3874
2020-09-29,510050.SH,602938,398952,1127168,850562,75.4601
2020-09-30,510050.SH,864129,634536,1197584,894952,74.7298
2020-10-09,510050.SH,891389,691321,1260247,927243,73.5763
2020-10-12,510050.SH,1561007,941000,1169026,985234,84.2782
2020-10-13,510050.SH,838859,573924,1197041,1015954,84.8721
2020-10-14,510050.SH,630672,467834,1232008,1029137,83.5333
2020-10-15,510050.SH,882059,577568,1266813,1061593,83.8003
2020-10-16,510050.SH,1009564,730381,1313691,1082890,82.4311
2020-10-19,510050.SH,1749002,1157387,1400743,1105806,78.9442
2020-10-20,510050.SH,758782,573900,1433005,1129834,78.8437
2020-10-21,510050.SH,922899,639608,1407883,1151069,81.7589
2020-10-22,510050.SH,1138810,917784,1434274,1154031,80.461
2020-10-23,510050.SH,1385515,1023411,1429666,1139624,79.7126
2020-10-26,510050.SH,1243401,1096693,1519388,1096857,72.1907
2020-10-27,510050.SH,801994,687268,1536598,1104726,71.8943
2020-10-28,510050.SH,846214,640831,1018159,831567,81.6736
2020-10-29,510050.SH,944500,816738,1057876,905950,85.6386
2020-10-30,510050.SH,890478,885367,1185294,948413,80.015
2020-11-02,510050.SH,725466,722164,1284778,984243,76.608
2020-11-03,510050.SH,1000553,684351,1244186,1013588,81.46600000000002
2020-11-04,510050.SH,964725,806074,1255555,1047219,83.4069
2020-11-05,510050.SH,1190158,807189,1270467,1070916,84.2931
2020-11-06,510050.SH,812958,558306,1320040,1090740,82.6293
2020-11-09,510050.SH,1635884,1027154,1237271,1141230,92.2377
2020-11-10,510050.SH,1156031,682803,1287831,1168088,90.70200000000001
2020-11-11,510050.SH,803576,568819,1313004,1198319,91.2654
2020-11-12,510050.SH,758826,623406,1383166,1180958,85.3808
2020-11-13,510050.SH,1365440,1147588,1534955,1161027,75.6392
2020-11-16,510050.SH,940493,677994,1501304,1187768,79.1158
2020-11-17,510050.SH,758675,617165,1492694,1215811,81.4508
2020-11-18,510050.SH,1364811,910873,1486754,1228011,82.5968
2020-11-19,510050.SH,1116933,846047,1428113,1283229,89.8549
2020-11-20,510050.SH,865528,653962,1394580,1276730,91.5494
2020-11-23,510050.SH,1879879,1134408,1308753,1315577,100.5214
2020-11-24,510050.SH,1057486,730729,1371213,1294832,94.4297
2020-11-25,510050.SH,1316986,919844,1085968,897079,82.6064
2020-11-26,510050.SH,849316,650685,1174844,993483,84.56299999999997
2020-11-27,510050.SH,1274200,809726,1205061,1090155,90.4647
2020-11-30,510050.SH,2665011,1570062,1371263,1196165,87.2309
2020-12-01,510050.SH,2289665,1246673,1377348,1300539,94.4234
2020-12-02,510050.SH,2361884,1032118,1475484,1353299,91.719
2020-12-03,510050.SH,1252207,651267,1580675,1359926,86.0345
2020-12-04,510050.SH,1476593,825840,1639507,1373514,83.77600000000002
2020-12-07,510050.SH,1455697,826405,1733345,1394790,80.4681
2020-12-08,510050.SH,1361922,740284,1827235,1410924,77.2163
2020-12-09,510050.SH,1405659,875019,1896626,1403892,74.0205
2020-12-10,510050.SH,1260342,899566,1920750,1401837,72.9838
2020-12-11,510050.SH,1655021,1525219,1991379,1393660,69.9847
2020-12-14,510050.SH,1058221,834081,1873896,1394133,74.3976
2020-12-15,510050.SH,983715,786877,1830896,1420716,77.5968
2020-12-16,510050.SH,926867,697175,1767627,1442237,81.5917
2020-12-17,510050.SH,1946559,1288942,1646909,1467551,89.1094
2020-12-18,510050.SH,1467384,1054695,1744341,1414222,81.0749
2020-12-21,510050.SH,1678784,1048904,1699128,1376862,81.0334
2020-12-22,510050.SH,1488201,1182244,1765317,1328439,75.2522
2020-12-23,510050.SH,1387937,1177160,1098883,802912,73.0662
2020-12-24,510050.SH,925729,774975,1221842,890404,72.8739
2020-12-25,510050.SH,1008839,833296,1229219,958580,77.9828
2020-12-28,510050.SH,998614,732774,1288769,998735,77.4953
2020-12-29,510050.SH,801594,537349,1360161,1033436,75.9789
2020-12-30,510050.SH,1042703,746470,1288897,1083670,84.0773
2020-12-31,510050.SH,2150141,1216739,1295484,1158704,89.4418
2021-01-04,510050.SH,1618374,885876,1386537,1218895,87.9093
2021-01-05,510050.SH,1568153,939541,1355639,1296981,95.67299999999999
2021-01-06,510050.SH,2263525,1166083,1361132,1393948,102.4109
2021-01-07,510050.SH,2324311,1308890,1339365,1466209,109.4705
2021-01-08,510050.SH,2466863,1272257,1449720,1475897,101.8057
2021-01-11,510050.SH,2315351,1221685,1441754,1526749,105.8952
2021-01-12,510050.SH,2526844,1443747,1407724,1590509,112.9844
2021-01-13,510050.SH,2631070,1357561,1542690,1607166,104.1795
2021-01-14,510050.SH,1762881,1199552,1629911,1575772,96.6784
2021-01-15,510050.SH,2425080,1458007,1638323,1608704,98.1921
2021-01-18,510050.SH,1918792,1264888,1609877,1639482,101.839
2021-01-19,510050.SH,1854208,1286947,1656028,1577643,95.2667
2021-01-20,510050.SH,1516900,1085833,1607164,1583518,98.5287
2021-01-21,510050.SH,2251800,1342553,1531480,1599491,104.4409
2021-01-22,510050.SH,1573030,1027118,1529282,1570653,102.7053
2021-01-25,510050.SH,1935318,1240017,1337173,1575998,117.8604
2021-01-26,510050.SH,1673084,1359271,1499453,1553091,103.5772
2021-01-27,510050.SH,1299000,958983,1053200,1026420,97.4573
2021-01-28,510050.SH,1144182,1164388,1233925,1108495,89.8349
2021-01-29,510050.SH,1202974,1160775,1346570,1171584,87.0051
2021-02-01,510050.SH,872339,843411,1372829,1212141,88.2951
2021-02-02,510050.SH,878997,725790,1328796,1236386,93.0456
2021-02-03,510050.SH,945146,849067,1299882,1284278,98.7996
2021-02-04,510050.SH,1163528,1123864,1276049,1276417,100.0288
2021-02-05,510050.SH,1661466,1129535,1161679,1251885,107.7651
2021-02-08,510050.SH,1337498,1007277,1152393,1260712,109.3995
2021-02-09,510050.SH,1533886,1117457,1095133,1282860,117.1419
2021-02-10,510050.SH,2283645,1378267,1087796,1329566,122.2257
2021-02-18,510050.SH,2350333,1582194,1284908,1393260,108.4327
2021-02-19,510050.SH,1667392,1356157,1305956,1402369,107.3826
2021-02-22,510050.SH,2139815,1983237,1417966,1365845,96.3242
2021-02-23,510050.SH,1738255,1595794,1391470,1391554,100.006
2021-02-24,510050.SH,2026562,2226365,1073046,1064700,99.2222
2021-02-25,510050.SH,1418702,1309381,1145549,1158642,101.1429
2021-02-26,510050.SH,1468823,1896934,1336872,1208091,90.367
2021-03-01,510050.SH,922920,989786,1383047,1226973,88.7152
2021-03-02,510050.SH,1543975,1745347,1517315,1255661,82.7555
2021-03-03,510050.SH,1423846,1191567,1443315,1340374,92.8677
2021-03-04,510050.SH,1602067,1913918,1649153,1332943,80.8259
2021-03-05,510050.SH,1612951,2109880,1745426,1362358,78.053
2021-03-08,510050.SH,2033244,2169996,1905370,1335332,70.0826
2021-03-09,510050.SH,2260584,2286825,1996456,1337848,67.0111
2021-03-10,510050.SH,1489802,1455652,2018344,1377275,68.2379
2021-03-11,510050.SH,1861558,1501107,1909682,1407499,73.7033
2021-03-12,510050.SH,1466476,1164665,1895565,1437651,75.8429
2021-03-15,510050.SH,1596468,1606627,1965372,1385746,70.5081
2021-03-16,510050.SH,1327484,1152027,1936891,1400401,72.3015
2021-03-17,510050.SH,1451937,1308183,1922984,1413130,73.4863
2021-03-18,510050.SH,1248174,1159133,1861654,1429061,76.763
2021-03-19,510050.SH,1806776,1869992,1951981,1357319,69.5355
2021-03-22,510050.SH,1307492,1243446,1868558,1281187,68.5655
2021-03-23,510050.SH,1467342,1436782,1911496,1247929,65.2855
2021-03-24,510050.SH,1393148,1367626,1067938,902790,84.5358
2021-03-25,510050.SH,912274,838584,1239173,1001783,80.8429
2021-03-26,510050.SH,1065460,887037,1218022,1052937,86.4465
2021-03-29,510050.SH,889859,757838,1262230,1108790,87.8437
2021-03-30,510050.SH,824681,702027,1258531,1170155,92.9778
2021-03-31,510050.SH,903369,809645,1363875,1159423,85.0095
2021-04-01,510050.SH,1073254,849543,1322849,1224746,92.584
2021-04-02,510050.SH,1194255,869508,1344726,1268476,94.3297
2021-04-06,510050.SH,866967,769067,1401408,1274558,90.9484
2021-04-07,510050.SH,1039534,959885,1490914,1263009,84.7137
2021-04-08,510050.SH,921755,858066,1493994,1299229,86.9635
2021-04-09,510050.SH,1154058,1117371,1604665,1282131,79.9002
2021-04-12,510050.SH,1103742,1081793,1696766,1283132,75.6222
2021-04-13,510050.SH,1078622,997181,1750600,1276387,72.9114
2021-04-14,510050.SH,987785,962696,1789456,1279722,71.5146
2021-04-15,510050.SH,1389726,1443175,1863427,1283845,68.89699999999999
2021-04-16,510050.SH,1185371,1139722,1827804,1342085,73.4261
2021-04-19,510050.SH,1845720,1378189,1712905,1402093,81.8547
2021-04-20,510050.SH,1210548,940190,1726297,1407808,81.5507
2021-04-21,510050.SH,1102710,1018116,1716474,1402968,81.7355
2021-04-22,510050.SH,1146828,980328,1794722,1374775,76.601
2021-04-23,510050.SH,1564040,1246398,1655314,1373616,82.9822
2021-04-26,510050.SH,1894014,1590794,1734406,1313066,75.707
2021-04-27,510050.SH,1139526,1033070,1735405,1336524,77.0151
2021-04-28,510050.SH,1146013,1133391,1155966,993507,85.946
2021-04-29,510050.SH,1239104,888098,1224515,1097200,89.6028
2021-04-30,510050.SH,1132582,957884,1331056,1133935,85.1906
2021-05-06,510050.SH,1349135,1140335,1521180,1166129,76.6595
2021-05-07,510050.SH,1195746,1000205,1655765,1196703,72.2749
2021-05-10,510050.SH,1172526,913715,1748945,1228547,70.245
2021-05-11,510050.SH,1335606,1049533,1743785,1286766,73.7916
2021-05-12,510050.SH,1020517,753554,1764421,1333069,75.5528
2021-05-13,510050.SH,1180453,1007059,1823230,1329028,72.8941
2021-05-14,510050.SH,1996833,1394497,1623771,1424998,87.7586
2021-05-17,510050.SH,1805475,1203394,1577144,1494707,94.773
2021-05-18,510050.SH,1003547,828607,1632963,1483123,90.824
2021-05-19,510050.SH,1064367,905710,1669424,1451757,86.9616
2021-05-20,510050.SH,1077213,862637,1675197,1473427,87.9554
2021-05-21,510050.SH,1684561,1428767,1787847,1393821,77.9609
2021-05-24,510050.SH,1304322,1098222,1738684,1372360,78.931
2021-05-25,510050.SH,3339090,2229886,1444807,1517183,105.0094
2021-05-26,510050.SH,1963782,1104551,1227410,1078088,87.8344
2021-05-27,510050.SH,1878535,1278828,1390094,1231951,88.6236
2021-05-28,510050.SH,1701356,1161411,1523630,1275788,83.7335
2021-05-31,510050.SH,1124021,836637,1669219,1321788,79.186
2021-06-01,510050.SH,1240615,939728,1751623,1362084,77.7613
2021-06-02,510050.SH,1509373,956939,1826483,1384337,75.7925
2021-06-03,510050.SH,1343416,940814,1899824,1384237,72.8613
2021-06-04,510050.SH,2191740,1354147,1922014,1391525,72.3993
2021-06-07,510050.SH,1041185,720878,2058803,1420384,68.9908
2021-06-08,510050.SH,1960537,1275952,2211088,1436436,64.9651
2021-06-09,510050.SH,1199424,827932,2219750,1458958,65.7262
2021-06-10,510050.SH,1870016,1215281,2175930,1485324,68.2616
2021-06-11,510050.SH,1376585,1019031,2368769,1469503,62.0366
2021-06-15,510050.SH,1824921,1164679,2552966,1415570,55.4481
2021-06-16,510050.SH,1743424,1229295,2700578,1411926,52.2824
2021-06-17,510050.SH,1536228,1106368,2661583,1392914,52.333999999999996
2021-06-18,510050.SH,1964961,1564655,2747288,1368832,49.8248
2021-06-21,510050.SH,1685805,1406134,2686302,1248225,46.4663
2021-06-22,510050.SH,1697026,1229160,2653357,1265560,47.6966
2021-06-23,510050.SH,1702530,1249030,1245661,879412,70.598
2021-06-24,510050.SH,812632,678962,1359446,993424,73.0756
2021-06-25,510050.SH,1558251,1037208,1392940,1057670,75.9308
2021-06-28,510050.SH,908802,563892,1546328,1086463,70.2608
2021-06-29,510050.SH,936414,668268,1682588,1122713,66.7254
2021-06-30,510050.SH,803020,500738,1734399,1143939,65.9559
2021-07-01,510050.SH,1515608,964458,1721348,1176565,68.3514
2021-07-02,510050.SH,1597002,1378366,1857715,1186724,63.8808
2021-07-05,510050.SH,993227,878346,1920884,1190002,61.9507
2021-07-06,510050.SH,1135031,1006073,2002896,1220005,60.912
2021-07-07,510050.SH,1164797,956194,1981212,1251434,63.1651
2021-07-08,510050.SH,1166232,1012770,2153691,1269911,58.9644
2021-07-09,510050.SH,1288956,1183515,2274734,1282483,56.3795
2021-07-12,510050.SH,1637609,1085372,2250440,1262264,56.0897
2021-07-13,510050.SH,1094390,773042,2213487,1278339,57.7523
2021-07-14,510050.SH,1371314,1190570,2365814,1283798,54.2645
2021-07-15,510050.SH,1851429,1372959,2142072,1317199,61.4918
2021-07-16,510050.SH,1318171,1017869,2284519,1266920,55.4568
2021-07-19,510050.SH,1656890,1413081,2303714,1294057,56.1726
2021-07-20,510050.SH,1117480,973318,2343676,1308908,55.8485
2021-07-21,510050.SH,1615742,1029235,2289989,1333480,58.2308
2021-07-22,510050.SH,1255921,856638,2206219,1350556,61.2159
2021-07-23,510050.SH,1505831,1203466,2335719,1264312,54.1295
2021-07-26,510050.SH,2713264,2399443,2496183,1152386,46.1659
2021-07-27,510050.SH,2095495,2020034,2611076,1100488,42.1469
2021-07-28,510050.SH,2179836,2045477,1618848,930309,57.4673
2021-07-29,510050.SH,1237069,996738,1725268,1022210,59.2493
2021-07-30,510050.SH,1207104,1225658,1827927,1048549,57.3627
2021-08-02,510050.SH,1963028,1572520,1762706,1115853,63.3034
2021-08-03,510050.SH,1181784,1018325,1763480,1196914,67.8723
2021-08-04,510050.SH,959804,844196,1774464,1241558,69.9681
2021-08-05,510050.SH,1184269,1121387,1788729,1302133,72.7965
2021-08-06,510050.SH,911488,892527,1890925,1240186,65.5862
2021-08-09,510050.SH,1492058,1233598,1857958,1331813,71.6815
2021-08-10,510050.SH,1895863,1521186,1767834,1446507,81.8237
2021-08-11,510050.SH,1306109,1077645,1840188,1434385,77.9477
2021-08-12,510050.SH,1083925,984360,2016570,1403357,69.5913
2021-08-13,510050.SH,1351671,1157743,2101211,1390112,66.1577
2021-08-16,510050.SH,1225479,1025580,2089194,1430711,68.4815
2021-08-17,510050.SH,1984027,1889394,2244720,1315850,58.6198
2021-08-18,510050.SH,1765936,1595831,2144287,1360246,63.4358
2021-08-19,510050.SH,1623387,1652623,2253634,1338606,59.3977
2021-08-20,510050.SH,2336696,2445372,2488103,1236577,49.6996
2021-08-23,510050.SH,1528437,1278181,2317744,1228373,52.9986
2021-08-24,510050.SH,1919234,1506092,2174232,1296592,59.6345
2021-08-25,510050.SH,1346896,1122212,1364900,958714,70.2406
2021-08-26,510050.SH,1242461,1202034,1689385,1003658,59.4097
2021-08-27,510050.SH,1205490,1191124,1680975,1095962,65.19800000000001
2021-08-30,510050.SH,1249401,1223830,1854270,1120435,60.4246
2021-08-31,510050.SH,1477722,1418885,2018514,1129336,55.9489
2021-09-01,510050.SH,2501616,1899128,1880805,1283972,68.2672
2021-09-02,510050.SH,1349732,937010,1948473,1361408,69.8705
2021-09-03,510050.SH,1898692,1354650,1926252,1412606,73.3344
2021-09-06,510050.SH,1505122,1227779,1885135,1534354,81.3923
2021-09-07,510050.SH,1673769,1426579,1830996,1601854,87.4854
2021-09-08,510050.SH,1300668,1109354,1996825,1572941,78.7721
2021-09-09,510050.SH,1093374,929436,2043720,1561747,76.4169
2021-09-10,510050.SH,1972242,1470777,1894143,1665588,87.9336
2021-09-13,510050.SH,1340805,1152067,1961280,1657042,84.4878
2021-09-14,510050.SH,1882635,1610297,2054334,1553782,75.6343
2021-09-15,510050.SH,1850163,1790203,2169326,1414254,65.1932
2021-09-16,510050.SH,2008826,1728596,2105864,1295455,61.5166
2021-09-17,510050.SH,1975581,1549371,1970611,1263448,64.1145
2021-09-22,510050.SH,1327203,1386048,1118655,839838,75.0757
2021-09-23,510050.SH,1078194,886632,1268577,946739,74.63
2021-09-24,510050.SH,1081879,870459,1267244,1009483,79.6597
2021-09-27,510050.SH,1522831,1255227,1202065,1065738,88.6589
2021-09-28,510050.SH,1055761,847718,1234080,1125789,91.225
2021-09-29,510050.SH,1481424,1327831,1299724,1137021,87.4817
2021-09-30,510050.SH,989941,815742,1360650,1138076,83.6421
2021-10-08,510050.SH,1461207,1301583,1318837,1284579,97.4024
2021-10-11,510050.SH,1290237,1152202,1342186,1361501,101.4391
2021-10-12,510050.SH,1334392,1278539,1407770,1295718,92.0405
2021-10-13,510050.SH,1306214,1147598,1366831,1390340,101.72
2021-10-14,510050.SH,1051541,909185,1417813,1372169,96.7807
2021-10-15,510050.SH,1205581,984260,1394019,1458074,104.595
2021-10-18,510050.SH,1571126,1507015,1634125,1356484,83.0098
2021-10-19,510050.SH,1059995,948321,1533529,1377710,89.8392
2021-10-20,510050.SH,1056679,931367,1588193,1383149,87.0895
2021-10-21,510050.SH,1603136,1325709,1550026,1439161,92.8475
2021-10-22,510050.SH,1931543,1624670,1498523,1584492,105.7369
2021-10-25,510050.SH,1209766,1037183,1509428,1482104,98.1898
2021-10-26,510050.SH,1531107,1202919,1564148,1424428,91.0673
2021-10-27,510050.SH,1514540,1482740,1231778,872472,70.8303
2021-10-28,510050.SH,908386,791920,1366239,955946,69.9692
2021-10-29,510050.SH,811538,621584,1385162,996592,71.9477
2021-11-01,510050.SH,767324,722345,1450526,1046005,72.1121
2021-11-02,510050.SH,1530265,1337828,1656745,1092303,65.9307
2021-11-03,510050.SH,998617,899385,1797196,1149570,63.9646
2021-11-04,510050.SH,777334,681969,1769377,1170120,66.1318
2021-11-05,510050.SH,910865,813681,1731919,1184984,68.4203
2021-11-08,510050.SH,789668,683705,1839431,1197806,65.1183
2021-11-09,510050.SH,936766,721605,1944668,1217966,62.6311
2021-11-10,510050.SH,1502964,1247735,2029839,1220903,60.1478
2021-11-11,510050.SH,1539090,1195613,1744445,1272308,72.9348
2021-11-12,510050.SH,846394,683049,1810797,1268873,70.0726
2021-11-15,510050.SH,833562,658456,1872423,1268722,67.7583
2021-11-16,510050.SH,1077438,885803,1858332,1274309,68.5727
2021-11-17,510050.SH,939741,777136,1930024,1258640,65.2137
2021-11-18,510050.SH,1214088,1024790,1990409,1244168,62.5082
2021-11-19,510050.SH,1657905,1232482,1826343,1219213,66.7571
2021-11-22,510050.SH,998937,741061,1758257,1202747,68.4056
2021-11-23,510050.SH,1048867,864510,1689644,1218681,72.1265
2021-11-24,510050.SH,1037126,938028,1073866,869823,80.9992
2021-11-25,510050.SH,708718,669150,1213577,941732,77.5997
2021-11-26,510050.SH,826035,801123,1397220,973113,69.6464
2021-11-29,510050.SH,864255,810571,1520254,1062567,69.89399999999999
2021-11-30,510050.SH,929056,830043,1637590,1100739,67.217
2021-12-01,510050.SH,644126,551499,1642152,1128758,68.7365
2021-12-02,510050.SH,803511,713429,1622202,1157336,71.3435
2021-12-03,510050.SH,1096327,929203,1576829,1206023,76.4841
2021-12-06,510050.SH,1228244,982688,1547828,1293991,83.6004
2021-12-07,510050.SH,1170962,945211,1563550,1380919,88.3195
2021-12-08,510050.SH,1804329,1404570,1522780,1522526,99.9833
2021-12-09,510050.SH,3115634,2116448,1541279,1658551,107.6087
2021-12-10,510050.SH,1356081,1009469,1586280,1636373,103.1579
2021-12-13,510050.SH,2333676,1644116,1630002,1685667,103.415
2021-12-14,510050.SH,1310812,1095829,1703503,1655095,97.1583
2021-12-15,510050.SH,1445910,1199880,1779063,1589295,89.3333
2021-12-16,510050.SH,1306154,1099360,1836944,1596033,86.8852
2021-12-17,510050.SH,1668961,1594084,1931721,1515817,78.4698
2021-12-20,510050.SH,1572545,1447938,1996201,1430116,71.6419
2021-12-21,510050.SH,1206226,1090622,1973056,1416923,71.8136
2021-12-22,510050.SH,1139630,1129104,1263829,957364,75.7511
2021-12-23,510050.SH,961969,835019,1373138,1048458,76.3549
2021-12-24,510050.SH,710967,660015,1419089,1083756,76.3698
2021-12-27,510050.SH,644613,621213,1489633,1111271,74.6003
2021-12-28,510050.SH,847420,720694,1513328,1157163,76.4648
2021-12-29,510050.SH,1151240,1052162,1743627,1186590,68.053
2021-12-30,510050.SH,845518,751449,1759407,1201326,68.2802
2021-12-31,510050.SH,694421,576300,1791627,1229030,68.5985
2022-01-04,510050.SH,1133972,953637,1889520,1254947,66.4162
2022-01-05,510050.SH,1142278,978867,1936609,1265668,65.3549
2022-01-06,510050.SH,1371495,1269721,2135541,1307510,61.2262
2022-01-07,510050.SH,921348,779861,2136976,1314572,61.5155
2022-01-10,510050.SH,849221,765104,2158180,1335527,61.8821
2022-01-11,510050.SH,1028886,882190,2196284,1344407,61.2128
2022-01-12,510050.SH,833227,716178,2159053,1369846,63.4466
2022-01-13,510050.SH,1371694,1185579,2283203,1354972,59.3452
2022-01-14,510050.SH,1540718,1477580,2392906,1352712,56.5301
2022-01-17,510050.SH,1080842,957899,2367003,1334033,56.3596
2022-01-18,510050.SH,1426731,1135741,2209504,1358590,61.4885
2022-01-19,510050.SH,1051847,950972,2184884,1366399,62.5387
2022-01-20,510050.SH,2042922,1622204,2021788,1422970,70.3818
2022-01-21,510050.SH,1249079,1078333,2088678,1366792,65.4381
2022-01-24,510050.SH,1297316,1141485,2044439,1321656,64.6464
2022-01-25,510050.SH,1609056,1501475,2124288,1243964,58.5591
2022-01-26,510050.SH,1338075,1294181,1158374,957618,82.6692
2022-01-27,510050.SH,1096669,1101232,1352997,1045776,77.2933
2022-01-28,510050.SH,1442997,1400089,1554493,1076064,69.2228
2022-02-07,510050.SH,1155456,1019000,1598871,1119879,70.0419
2022-02-08,510050.SH,1234201,1059313,1670754,1163636,69.6474
2022-02-09,510050.SH,976389,825770,1648092,1216373,73.8049
2022-02-10,510050.SH,685929,619966,1651103,1221158,73.9601
2022-02-11,510050.SH,1218101,998892,1659326,1260562,75.9683
2022-02-14,510050.SH,1089380,1132644,1775277,1224229,68.9599
2022-02-15,510050.SH,759924,802421,1782725,1292886,72.523
2022-02-16,510050.SH,909347,742885,1755608,1335231,76.0552
2022-02-17,510050.SH,935395,946830,1693819,1401756,82.7571
2022-02-18,510050.SH,922923,917387,1674595,1426029,85.1566
2022-02-21,510050.SH,1020683,912500,1722104,1337630,77.6742
2022-02-22,510050.SH,1276975,1230345,1782151,1283813,72.0373
2022-02-23,510050.SH,1000219,864366,1136151,981646,86.40100000000002
2022-02-24,510050.SH,1277198,1444619,1394065,1070239,76.7711
2022-02-25,510050.SH,910783,965465,1397763,1096290,78.4318
2022-02-28,510050.SH,705598,692198,1458172,1144844,78.5123
2022-03-01,510050.SH,977894,891377,1398142,1257215,89.9204
2022-03-02,510050.SH,564392,588671,1448489,1253505,86.5388
2022-03-03,510050.SH,773717,706667,1545143,1269425,82.1558
2022-03-04,510050.SH,1066366,1022813,1702951,1257818,73.8611
2022-03-07,510050.SH,1699211,1565566,2069950,1235013,59.6639
2022-03-08,510050.SH,1879819,2011293,2193326,1210369,55.1842
2022-03-09,510050.SH,2364571,2542992,2315209,1182105,51.0582
2022-03-10,510050.SH,1504730,1285480,2225483,1209913,54.3663
2022-03-11,510050.SH,2279071,2168332,2217109,1218283,54.9492
2022-03-14,510050.SH,1653398,1710112,2385748,1216007,50.9696
2022-03-15,510050.SH,2895351,2812020,2527258,1087257,43.0212
2022-03-16,510050.SH,3121998,2605274,2344554,1134629,48.3942
2022-03-17,510050.SH,2494832,1888550,2169909,1242643,57.2671
