,margin_balance,short_balance
2015-07-10,1438250000000.0,2720085865.0
2015-07-13,1436980000000.0,2837743074.0
2015-07-14,1438920000000.0,2815180500.0
2015-07-15,1419900000000.0,2735437588.0
2015-07-16,1418670000000.0,2678560627.0
2015-07-17,1425590000000.0,2799945641.0
2015-07-20,1423830000000.0,3186266994.0
2015-07-21,1432670000000.0,3415502692.0
2015-07-22,1436420000000.0,3473340914.0
2015-07-23,1455430000000.0,3394230281.0
2015-07-24,1454420000000.0,3463352814.0
2015-07-27,1426930000000.0,3146210975.0
2015-07-28,1379300000000.0,2993162791.0
2015-07-29,1369170000000.0,3223939284.0
2015-07-30,1367900000000.0,3249062194.0
2015-07-31,1335420000000.0,3240883562.0
2015-08-03,1293810000000.0,3480154332.0
2015-08-04,1309380000000.0,3636210815.0
2015-08-05,1309110000000.0,3498641216.0
2015-08-06,1305390000000.0,3411323677.0
2015-08-07,1314230000000.0,3100737457.0
2015-08-10,1337210000000.0,3337885914.0
2015-08-11,1351140000000.0,3211649024.0
2015-08-12,1355680000000.0,3300323281.0
2015-08-13,1369470000000.0,3255351015.0
2015-08-14,1374850000000.0,3134046726.0
2015-08-17,1389230000000.0,3561802009.0
2015-08-18,1368720000000.0,3628568615.0
2015-08-19,1361880000000.0,3477176182.0
2015-08-20,1353810000000.0,3521428855.0
2015-08-21,1323650000000.0,3276028693.0
2015-08-24,1245490000000.0,2939739940.0
2015-08-25,1160190000000.0,2731637328.0
2015-08-26,1107820000000.0,2817262759.0
2015-08-27,1074550000000.0,3025645090.0
2015-08-28,1072240000000.0,3142501338.0
2015-08-31,1055960000000.0,3240012531.0
2015-09-01,1012220000000.0,3163677097.0
2015-09-02,959154000000.0,3107548566.0
2015-09-07,975417000000.0,3053916036.0
2015-09-08,972959000000.0,3201908059.0
2015-09-09,987277000000.0,3287415285.0
2015-09-10,984195000000.0,3221161115.0
2015-09-11,981844000000.0,3077882190.0
2015-09-14,953398000000.0,3025587580.0
2015-09-15,932721000000.0,2882093541.0
2015-09-16,935178000000.0,2981619138.0
2015-09-17,938336000000.0,2913589564.0
2015-09-18,936214000000.0,2896528177.0
2015-09-21,937895000000.0,2940785392.0
2015-09-22,938479000000.0,2959158649.0
2015-09-23,937018000000.0,2893032141.0
2015-09-24,937212000000.0,2929409709.0
2015-09-25,924702000000.0,2858198451.0
2015-09-28,925809000000.0,2892656478.0
2015-09-29,918295000000.0,2781383756.0
2015-09-30,904051000000.0,2658246369.0
2015-10-08,919536000000.0,2870061556.0
2015-10-09,920887000000.0,2877547384.0
2015-10-12,945014000000.0,2964379086.0
2015-10-13,949458000000.0,2939561947.0
2015-10-14,954858000000.0,2928919233.0
2015-10-15,966087000000.0,2985804662.0
2015-10-16,969812000000.0,2922703627.0
2015-10-19,982189000000.0,2968870504.0
2015-10-20,993094000000.0,3005228949.0
2015-10-21,985088000000.0,2907288176.0
