,H11025
2015-01-05,1318.9
2015-01-06,1319.08
2015-01-07,1319.24
2015-01-08,1319.4
2015-01-09,1319.56
2015-01-12,1320.0
2015-01-13,1320.2
2015-01-14,1320.37
2015-01-15,1320.54
2015-01-16,1320.71
2015-01-19,1321.17
2015-01-20,1321.33
2015-01-21,1321.47
2015-01-22,1321.64
2015-01-23,1321.81
2015-01-26,1322.26
2015-01-27,1322.43
2015-01-28,1322.59
2015-01-29,1322.75
2015-01-30,1322.92
2015-02-02,1323.37
2015-02-03,1323.53
2015-02-04,1323.7
2015-02-05,1323.86
2015-02-06,1324.03
2015-02-09,1324.49
2015-02-10,1324.65
2015-02-11,1324.87
2015-02-12,1325.06
2015-02-13,1325.24
2015-02-16,1325.71
2015-02-17,1325.88
2015-02-25,1327.05
2015-02-26,1327.22
2015-02-27,1327.39
2015-03-02,1327.84
2015-03-03,1328.03
2015-03-04,1328.21
2015-03-05,1328.39
2015-03-06,1328.59
2015-03-09,1329.05
2015-03-10,1329.25
2015-03-11,1329.43
2015-03-12,1329.62
2015-03-13,1329.85
2015-03-16,1330.36
2015-03-17,1330.52
2015-03-18,1330.67
2015-03-19,1330.84
2015-03-20,1331.01
2015-03-23,1331.45
2015-03-24,1331.61
2015-03-25,1331.8
2015-03-26,1331.96
2015-03-27,1332.13
2015-03-30,1332.57
2015-03-31,1332.74
2015-04-01,1332.9
2015-04-02,1333.06
2015-04-03,1333.21
2015-04-07,1333.78
2015-04-08,1333.93
2015-04-09,1334.09
2015-04-10,1334.24
2015-04-13,1334.7
2015-04-14,1334.87
2015-04-15,1335.07
2015-04-16,1335.29
2015-04-17,1335.47
2015-04-20,1335.9
2015-04-21,1336.05
2015-04-22,1336.22
2015-04-23,1336.38
2015-04-24,1336.53
2015-04-27,1336.93
2015-04-28,1337.07
2015-04-29,1337.24
2015-04-30,1337.37
2015-05-04,1337.87
2015-05-05,1338.05
2015-05-06,1338.23
2015-05-07,1338.41
2015-05-08,1338.6
2015-05-11,1339.01
2015-05-12,1339.18
2015-05-13,1339.32
2015-05-14,1339.49
2015-05-15,1339.69
2015-05-18,1340.1
2015-05-19,1340.34
2015-05-20,1340.56
2015-05-21,1340.73
2015-05-22,1340.89
2015-05-25,1341.22
2015-05-26,1341.36
2015-05-27,1341.47
2015-05-28,1341.58
2015-05-29,1341.71
2015-06-01,1342.06
2015-06-02,1342.22
2015-06-03,1342.36
2015-06-04,1342.55
2015-06-05,1342.71
2015-06-08,1343.04
2015-06-09,1343.16
2015-06-10,1343.27
2015-06-11,1343.39
2015-06-12,1343.51
2015-06-15,1343.8
2015-06-16,1343.92
2015-06-17,1344.04
2015-06-18,1344.19
2015-06-19,1344.37
2015-06-23,1344.87
2015-06-24,1345.06
2015-06-25,1345.18
2015-06-26,1345.33
2015-06-29,1345.68
2015-06-30,1345.82
2015-07-01,1345.96
