,H00905
2015-11-24,8439.3274
2015-11-25,8573.3943
2015-11-26,8521.1205
2015-11-27,7982.2464
2015-11-30,8017.1730000000025
2015-12-01,8055.6403
2015-12-02,8014.4251
2015-12-03,8192.6029
2015-12-04,8128.9356
2015-12-07,8226.9293
2015-12-08,8012.5664
2015-12-09,7980.2442
2015-12-10,7954.2023
2015-12-11,7889.8042
2015-12-14,8052.4857
2015-12-15,8114.3331
2015-12-16,8148.1203
2015-12-17,8350.317
2015-12-18,8332.0542
2015-12-21,8428.5775
2015-12-22,8502.2132
2015-12-23,8412.0404
2015-12-24,8390.1309
2015-12-25,8432.4306
2015-12-28,8228.1558
2015-12-29,8305.0196
2015-12-30,8377.1562
2015-12-31,8243.6613
2016-01-04,7557.2552
2016-01-05,7455.8957
2016-01-06,7646.2125
2016-01-07,6993.268
2016-01-08,7110.3471
2016-01-11,6632.269
2016-01-12,6640.9344
2016-01-13,6410.8436
2016-01-14,6628.1182
2016-01-15,6377.986
2016-01-18,6470.2154
2016-01-19,6706.3317
2016-01-20,6642.9255
2016-01-21,6370.6294
2016-01-22,6472.0589
2016-01-25,6537.7631
2016-01-26,6048.5998
2016-01-27,5967.3088
2016-01-28,5704.3882
2016-01-29,5918.5426
2016-02-01,5843.1711
2016-02-02,6045.6994
2016-02-03,6071.181
2016-02-04,6191.6399
2016-02-05,6129.6441
2016-02-15,6133.8025
2016-02-16,6387.566
2016-02-17,6462.1042
2016-02-18,6446.6489
2016-02-19,6470.8743
2016-02-22,6605.2868
2016-02-23,6569.3341
2016-02-24,6613.2086
2016-02-25,6088.3646
2016-02-26,6113.1307
2016-02-29,5790.0977
2016-03-01,5923.4227
2016-03-02,6225.9046
2016-03-03,6251.6915
2016-03-04,6083.5049
2016-03-07,6225.2553
2016-03-08,6238.0001
2016-03-09,6078.6093
2016-03-10,5975.7059
2016-03-11,5961.6742
2016-03-14,6158.2062
2016-03-15,6103.2434
2016-03-16,6019.9189
2016-03-17,6218.3546
2016-03-18,6438.3547
2016-03-21,6600.922
2016-03-22,6574.9616
2016-03-23,6622.0099
2016-03-24,6513.2019999999975
2016-03-25,6577.0601
2016-03-28,6534.1472
2016-03-29,6408.7115
2016-03-30,6642.0755
2016-03-31,6661.8912
2016-04-01,6628.0331
2016-04-05,6803.4906
2016-04-06,6843.4116
2016-04-07,6741.1836
2016-04-08,6676.0474
2016-04-11,6822.754
2016-04-12,6767.1476
2016-04-13,6866.8226
2016-04-14,6929.2454
2016-04-15,6910.2984
2016-04-18,6798.6538
2016-04-19,6828.0509
2016-04-20,6518.7641
2016-04-21,6463.0214
2016-04-22,6507.0105
2016-04-25,6472.0599
2016-04-26,6546.8277
2016-04-27,6514.3308
2016-04-28,6486.0343
2016-04-29,6480.9882
2016-05-03,6678.1317
2016-05-04,6680.8606
2016-05-05,6717.8324
2016-05-06,6457.0939
2016-05-09,6221.5283
2016-05-10,6216.5979
2016-05-11,6200.1777
2016-05-12,6204.2106
2016-05-13,6191.4883
2016-05-16,6298.3406
2016-05-17,6274.8706
2016-05-18,6102.8152
2016-05-19,6142.7508
2016-05-20,6215.5016
2016-05-23,6298.9397
2016-05-24,6227.3459
2016-05-25,6197.3054
2016-05-26,6228.9732
2016-05-27,6224.3202
2016-05-30,6194.8159
2016-05-31,6451.4065
2016-06-01,6480.745
2016-06-02,6525.3604
2016-06-03,6546.8345
2016-06-06,6568.0394
2016-06-07,6561.8631
2016-06-08,6540.2457
2016-06-13,6239.7474
2016-06-14,6257.8465
2016-06-15,6465.2461
2016-06-16,6441.8672
2016-06-17,6480.8207
2016-06-20,6504.8612
2016-06-21,6431.0982
2016-06-22,6531.9948
2016-06-23,6500.5743
2016-06-24,6420.6227
2016-06-27,6574.3815
2016-06-28,6644.8024
2016-06-29,6659.8575
2016-06-30,6664.4069
2016-07-01,6651.5176
2016-07-04,6782.9694
2016-07-05,6823.9913
2016-07-06,6854.6387
2016-07-07,6879.941
2016-07-08,6860.5731
2016-07-11,6874.5244
2016-07-12,6964.6897
2016-07-13,7020.9078
2016-07-14,7031.3577
2016-07-15,7016.6906
2016-07-18,6985.4244
2016-07-19,7007.2071
2016-07-20,6992.4787
2016-07-21,7019.4848
2016-07-22,6963.9811
2016-07-25,6983.7798
2016-07-26,7077.1592
2016-07-27,6788.1809
2016-07-28,6803.4596
2016-07-29,6759.5475
2016-08-01,6657.7511
2016-08-02,6722.2993
2016-08-03,6754.8615
2016-08-04,6798.2808
2016-08-05,6760.6261
2016-08-08,6855.9538
2016-08-09,6911.3108
2016-08-10,6885.9528
2016-08-11,6785.7404
2016-08-12,6865.058000000001
2016-08-15,7021.3934
2016-08-16,7050.1628
2016-08-17,7071.3825
2016-08-18,7073.6709999999985
2016-08-19,7083.7003
2016-08-22,6997.3818
2016-08-23,7006.5052
2016-08-24,7013.4378
2016-08-25,6956.232
2016-08-26,6986.9263
2016-08-29,7005.2315
2016-08-30,7003.6719
2016-08-31,7012.8885
2016-09-01,6955.4108
2016-09-02,6928.6836
2016-09-05,6966.6555
2016-09-06,7076.9352
2016-09-07,7078.4564
2016-09-08,7104.2529
2016-09-09,7053.1638
2016-09-12,6857.6075
2016-09-13,6888.557
2016-09-14,6842.9167
2016-09-19,6915.0353
2016-09-20,6912.6938
2016-09-21,6914.57
2016-09-22,6960.2196
2016-09-23,6943.8134
2016-09-26,6803.5022
2016-09-27,6852.9831
2016-09-28,6846.8511
2016-09-29,6865.9347
2016-09-30,6897.9039
2016-10-10,7028.2819
2016-10-11,7070.5016
2016-10-12,7066.482
2016-10-13,7068.7636
2016-10-14,7052.0759
2016-10-17,6990.6594
2016-10-18,7095.4497
2016-10-19,7080.1621
2016-10-20,7083.4105
2016-10-21,7058.3864
2016-10-24,7128.3518
2016-10-25,7154.3907
2016-10-26,7118.4582
2016-10-27,7104.2544
2016-10-28,7037.1895
2016-10-31,7033.2336
2016-11-01,7093.9976
2016-11-02,7036.4206
2016-11-03,7067.599
2016-11-04,7044.556
2016-11-07,7051.3408
2016-11-08,7088.7959999999985
2016-11-09,7034.7226
2016-11-10,7125.6256
2016-11-11,7176.7722
2016-11-14,7210.6954
2016-11-15,7238.4421
2016-11-16,7242.5038
2016-11-17,7234.09
2016-11-18,7196.9392
2016-11-21,7206.9824
2016-11-22,7261.165
2016-11-23,7228.3839
2016-11-24,7219.5278
2016-11-25,7251.9776
2016-11-28,7271.7004
2016-11-29,7217.1871
2016-11-30,7178.7975
2016-12-01,7221.1885
2016-12-02,7108.3751
2016-12-05,7070.2689
2016-12-06,7075.5802
2016-12-07,7148.7627
2016-12-08,7115.4162
2016-12-09,7100.6802
2016-12-12,6811.9869
2016-12-13,6843.7092
2016-12-14,6801.5445
2016-12-15,6846.1279
2016-12-16,6887.688
2016-12-19,6890.0954
2016-12-20,6868.1913
2016-12-21,6919.3895
2016-12-22,6913.0475
2016-12-23,6847.9192
2016-12-26,6861.8264
2016-12-27,6855.4002
2016-12-28,6835.1029
2016-12-29,6815.8827
2016-12-30,6827.8932
2017-01-03,6890.1774
2017-01-04,6970.7422
2017-01-05,6975.7726
2017-01-06,6945.6129
2017-01-09,6993.3596
2017-01-10,6969.9344
2017-01-11,6902.3877
2017-01-12,6837.9496
2017-01-13,6752.7119
2017-01-16,6574.5743
2017-01-17,6629.9772
2017-01-18,6615.2908
2017-01-19,6588.128000000002
2017-01-20,6673.5072
2017-01-23,6728.1955
2017-01-24,6720.6707
2017-01-25,6736.2633
2017-01-26,6784.3774
2017-02-03,6766.2667
2017-02-06,6823.1202
2017-02-07,6819.501
2017-02-08,6858.3852
2017-02-09,6901.5301
2017-02-10,6907.9954
2017-02-13,6943.4718
2017-02-14,6949.1758
2017-02-15,6880.294
2017-02-16,6932.2258
2017-02-17,6875.3524
2017-02-20,6960.2699
2017-02-21,7014.0938
2017-02-22,7057.4647
2017-02-23,7057.2118
2017-02-24,7059.58
2017-02-27,7002.9929
2017-02-28,7032.1148
2017-03-01,7050.2848
2017-03-02,7014.2986
2017-03-03,7034.2736
2017-03-06,7104.5686
2017-03-07,7110.9602
2017-03-08,7082.5095
2017-03-09,7019.6042
2017-03-10,7028.9075
2017-03-13,7094.2919
2017-03-14,7078.5816
2017-03-15,7070.4897
2017-03-16,7132.93
2017-03-17,7067.4208
2017-03-20,7083.8762
2017-03-21,7103.0667
2017-03-22,7085.4582
2017-03-23,7098.9696
2017-03-24,7136.4994
2017-03-27,7103.2346
2017-03-28,7084.3294
2017-03-29,7064.5467
2017-03-30,6950.3034
2017-03-31,6978.5419
2017-04-05,7129.3253
2017-04-06,7150.7855
2017-04-07,7171.5777
2017-04-10,7158.2980000000025
2017-04-11,7226.5633
2017-04-12,7169.1251
2017-04-13,7213.3076
2017-04-14,7117.9495
2017-04-17,7039.9197
2017-04-18,6998.065
2017-04-19,6924.5812
2017-04-20,6921.4482
2017-04-21,6870.4323
2017-04-24,6694.2496
2017-04-25,6718.1937
2017-04-26,6735.6484
2017-04-27,6753.8829
2017-04-28,6775.4449
2017-05-02,6780.0834
2017-05-03,6759.7554
2017-05-04,6736.6619
2017-05-05,6642.3916
2017-05-08,6517.9699
2017-05-09,6557.7419
2017-05-10,6421.0013
2017-05-11,6407.1753
2017-05-12,6398.4628
2017-05-15,6431.333000000001
2017-05-16,6564.5193
2017-05-17,6579.1075
2017-05-18,6523.6917
2017-05-19,6522.9664
2017-05-22,6429.1766
2017-05-23,6293.8673
2017-05-24,6332.1895
2017-05-25,6389.1046
2017-05-26,6377.3874
2017-05-31,6363.8105
2017-06-01,6239.7004
2017-06-02,6309.0668
2017-06-05,6357.7548
2017-06-06,6386.2246
2017-06-07,6511.1783
2017-06-08,6518.5665
2017-06-09,6530.7778
2017-06-12,6460.1584
2017-06-13,6544.996
2017-06-14,6530.6976
2017-06-15,6591.8748
2017-06-16,6585.5667
2017-06-19,6635.0043
2017-06-20,6646.044
2017-06-21,6658.9761
2017-06-22,6565.7898
2017-06-23,6585.8243
2017-06-26,6697.3721
2017-06-27,6699.5227
2017-06-28,6670.4219
2017-06-29,6705.655
2017-06-30,6729.5497
2017-07-03,6773.1992
2017-07-04,6739.9482
2017-07-05,6792.9702
2017-07-06,6802.2508
2017-07-07,6830.1236
2017-07-10,6808.9109
2017-07-11,6724.0683
2017-07-12,6729.1933
2017-07-13,6748.6527
2017-07-14,6726.8472
2017-07-17,6450.2225
2017-07-18,6518.9788
2017-07-19,6652.1199
2017-07-20,6696.3646
2017-07-21,6727.9602
2017-07-24,6773.2904
